50	12000000	24000	6800000	20400	3100000	12400	8019977	28344	4544654	16061	2071827	7322	19247.945	68.026	10907.170	38.546	4972.385	17.573	206.000	564479	16732	319871	9481	145824	4322	1354.749	40.156	767.691	22.755	349.977	10.374
155	1400000	7000	800000	6400	360000	4320	935664	3307	534665	1890	240599	850	2245.594	7.937	1283.196	4.536	577.438	2.040													
300	450000	2250	250000	2000	110000	1320	300749	1063	167083	590	73516	260	721.798	2.551	400.999	1.416	176.438	0.624													
400	280000	1400	160000	960	70000	630	187133	661	106933	378	46783	165	449.119	1.586	256.639	0.907	112.279	0.396													
